user_id,item_id,clicking
118,1088,4
710,705,2
516,1654,2
813,1323,3
900,900,4
621,894,1
257,2513,5
463,2815,2
741,1328,2
858,2612,6
750,1873,1
127,823,2
941,2236,1
478,2614,2
628,484,2
986,1663,2
335,570,4
272,2281,4
852,572,3
52,3580,2
314,1956,2
185,4046,4
470,794,1
327,4096,6
224,1231,6
302,3082,3
88,3422,2
681,902,7
102,1297,3
633,1617,1
572,459,3
144,1417,4
212,397,4
429,2815,1
650,1173,3
926,1611,4
835,893,2
506,3616,2
256,1911,3
373,3167,3
262,3664,2
222,1733,4
393,2379,2
338,2628,3
239,3981,2
493,3057,1
103,1358,2
921,735,3
388,1409,3
356,1043,2
129,3478,2
180,4036,2
69,1400,2
462,2740,6
182,1598,2
773,1176,3
731,94,2
105,3321,3
853,2659,4
971,1546,2
110,1486,2
674,1332,7
503,417,4
350,1308,2
249,1180,2
687,512,6
930,24,5
178,1290,3
493,814,2
510,4030,4
246,1887,2
637,1225,3
176,906,3
728,1943,3
860,3918,2
360,3632,1
450,1620,4
357,1730,1
617,2618,1
164,1746,2
291,221,2
216,1076,1
476,1790,4
45,2234,3
641,3877,2
847,2569,2
138,607,4
874,1379,4
124,2282,1
674,1573,2
338,2249,2
408,3861,2
907,2505,4
455,2294,3
28,3826,4
803,4044,2
571,1734,1
133,1348,2
87,2199,3
36,3513,3
424,1784,2
745,2359,2
38,1669,3
721,1700,4
63,2779,2
479,1624,3
590,453,6
406,924,1
787,3880,2
944,1445,5
295,3713,3
934,1179,1
239,1810,2
484,1258,2
3,508,3
501,823,4
633,3663,5
775,27,1
851,1160,3
503,2970,1
907,1192,2
705,3278,3
427,3825,7
576,2508,2
975,1778,2
953,1018,1
668,707,1
739,870,3
105,1621,2
390,3998,2
99,1885,2
141,1523,5
352,3078,2
908,3256,6
370,2577,3
980,2281,4
577,427,5
502,1151,4
913,4063,4
829,1627,3
422,2661,3
399,1935,3
210,3761,1
631,33,2
95,421,3
9,1983,1
464,286,2
170,2272,1
383,1723,3
815,2507,3
254,3875,2
266,1911,4
197,1646,2
666,554,4
496,323,2
452,3929,2
804,2688,6
432,3751,3
831,4069,6
901,3077,3
341,2450,3
160,1970,3
974,3446,1
968,1911,1
599,29,1
110,1371,4
223,52,2
116,45,3
969,1089,4
191,832,2
760,3671,3
965,570,4
480,326,2
191,1094,3
168,2105,2
220,2298,1
348,3325,3
963,1125,4
749,1313,5
192,3477,3
739,1557,3
804,1974,3
564,3859,3
486,663,1
307,1723,2
602,979,3
293,2742,2
940,2842,3
838,1376,7
93,2993,4
476,2048,1
82,2660,4
735,1065,2
198,634,4
463,2707,1
680,3332,1
759,1652,3
223,2723,3
227,2055,5
718,83,6
714,756,4
512,870,1
332,3241,3
750,122,3
248,627,3
964,2918,3
619,3598,4
592,3944,6
662,3639,2
626,3896,3
984,855,3
741,3810,5
944,591,3
899,1910,2
645,1621,4
357,2855,3
221,2953,2
873,2308,7
530,1716,3
917,1276,5
672,1549,3
315,3033,6
914,3735,5
854,742,2
920,812,1
809,947,4
955,2278,2
383,1396,3
248,2365,3
51,2827,1
631,3790,3
356,3255,2
584,621,1
649,3240,2
102,1990,1
219,3865,5
24,2647,3
340,1109,3
934,1242,3
688,926,1
42,3206,2
8,2117,1
788,455,3
655,899,3
20,2431,3
80,213,4
803,1229,2
197,1281,4
639,3688,1
341,3237,3
151,1033,5
324,470,2
179,1972,4
634,1507,1
223,546,1
824,1837,4
429,3554,4
504,3808,1
979,834,2
904,2564,2
271,2888,4
503,1941,3
903,89,4
638,1796,5
331,3845,6
523,1214,3
329,1340,2
894,2746,2
721,4067,3
177,2894,3
91,3091,3
246,3039,3
86,3384,4
867,307,2
872,1478,3
886,4044,2
927,2717,3
23,3384,4
374,2043,4
137,1481,2
112,2684,3
261,2978,3
438,3035,1
889,274,3
560,211,3
413,3265,2
386,742,3
171,2430,3
652,2821,1
933,1919,2
284,407,4
153,296,3
690,3041,6
677,3846,1
814,2169,2
738,999,1
916,508,1
49,713,2
324,1773,2
633,2294,4
220,2681,3
203,126,3
557,3042,2
190,174,3
605,1138,3
266,260,5
281,2319,2
813,119,3
535,121,3
491,1143,2
412,351,3
523,2361,5
103,920,2
661,1844,3
262,3981,3
847,3473,1
277,3547,3
102,1387,2
757,2776,4
621,1890,5
170,2970,3
217,3004,2
565,2241,2
632,924,2
853,2794,3
882,3099,3
578,3410,3
151,1087,4
700,3508,3
823,4103,1
12,3214,2
667,1338,5
156,1460,3
384,1346,1
248,2524,3
473,885,3
715,687,3
79,2857,2
760,3753,5
450,1340,3
358,3722,1
123,78,4
782,1733,4
363,1596,2
9,3778,5
760,3201,1
775,3552,3
904,1516,6
