id,title,open_state,url,time_left_to_submission,themes,registrations_count,featured,organization_name,start_date,end_date
19201,Google’s Immersive Geospatial Challenge,open,https://googlesimmersive.devpost.com/,27 days left,"[{'id': 5, 'name': 'AR/VR'}, {'id': 23, 'name': 'Beginner Friendly'}, {'id': 11, 'name': 'Productivity'}]",1699,True,Google,"Sep 25, 2023","Nov 20, 2023"
19198,Docker AI/ML Hackathon,open,https://docker.devpost.com/,14 days left,"[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 2, 'name': 'DevOps'}, {'id': 25, 'name': 'Web'}]",1595,False,Docker,"Oct 03, 2023","Nov 07, 2023"
18926,CodeShift,open,https://codeshift.devpost.com/,20 days left,"[{'id': 21, 'name': 'Enterprise'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 22, 'name': 'Open Ended'}]",324,True,Red Hat,"Sep 26, 2023","Nov 13, 2023"
18886,Databricks Asia Pacific LLM Cup 2023,open,https://databricks-llm-cup-2023.devpost.com/,about 1 month left,"[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 28, 'name': 'Databases'}]",621,False,Databricks,"Oct 08, 2023","Nov 24, 2023"
18958,Ably Realtime Experiences Hackathon,open,https://ably.devpost.com/,8 days left,"[{'id': 10, 'name': 'Communication'}, {'id': 28, 'name': 'Databases'}, {'id': 25, 'name': 'Web'}]",591,False,ably,"Sep 18, 2023","Nov 01, 2023"
18360,API World + AI DevWorld Hackathon 2023,open,https://api-world-hackathon-2023.devpost.com/,1 day left,"[{'id': 7, 'name': 'IoT'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 17, 'name': 'Low/No Code'}]",580,True,DevNetwork,"Oct 09, 2023","Oct 26, 2023"
18997,AI and Identity- Okta Hackathon 2023,open,https://oktahackathon2023.devpost.com/,13 days left,"[{'id': 21, 'name': 'Enterprise'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 25, 'name': 'Web'}]",492,False,Okta,"Sep 22, 2023","Nov 07, 2023"
19079,2023 PICO Dev Jam,open,https://pico-dev-jam-2023.devpost.com/,17 days left,"[{'id': 5, 'name': 'AR/VR'}, {'id': 19, 'name': 'Education'}, {'id': 4, 'name': 'Gaming'}]",398,True,PICO ,"Oct 02, 2023","Nov 10, 2023"
18903,Boost Hacks,open,https://boost-hacks.devpost.com/,6 days left,"[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]",721,False,Boost,"Sep 08, 2023","Oct 30, 2023"
19038,NEW HORIZON,open,https://newhorizon.devpost.com/,about 2 months left,"[{'id': 1, 'name': 'Blockchain'}, {'id': 25, 'name': 'Web'}]",79,True,Ripple,"Oct 19, 2023","Dec 11, 2023"
