id,title,open_state,url,time_left_to_submission,registrations_count,featured,organization_name,start_date,end_date,5_AR/VR,23_Beginner Friendly,11_Productivity,6_Machine Learning/AI,2_DevOps,25_Web,21_Enterprise,22_Open Ended,28_Databases,10_Communication,7_IoT,17_Low/No Code,19_Education,4_Gaming,13_Social Good,1_Blockchain,16_Health,9_Cybersecurity,3_Fintech,26_Mobile,18_Design,15_Music/Art,27_Robotic Process Automation,12_Lifehacks,14_COVID-19,20_E-commerce/Retail,24_Quantum,8_Voice skills
19201,Google’s Immersive Geospatial Challenge,open,https://googlesimmersive.devpost.com/,50 days left,1699,True,Google,"Sep 25, 2023","Nov 20, 2023",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19198,Docker AI/ML Hackathon,upcoming,https://docker.devpost.com/,37 days left,1595,False,Docker,"Oct 03, 2023","Nov 07, 2023",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18926,CodeShift,open,https://codeshift.devpost.com/,43 days left,324,True,Red Hat,"Sep 26, 2023","Nov 13, 2023",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18886,Databricks Asia Pacific LLM Cup 2023,upcoming,https://databricks-llm-cup-2023.devpost.com/,54 days left,621,False,Databricks,"Oct 08, 2023","Nov 24, 2023",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18958,Ably Realtime Experiences Hackathon,open,https://ably.devpost.com/,31 days left,591,False,ably,"Sep 18, 2023","Nov 01, 2023",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18360,API World + AI DevWorld Hackathon 2023,upcoming,https://api-world-hackathon-2023.devpost.com/,25 days left,580,True,DevNetwork,"Oct 09, 2023","Oct 26, 2023",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18997,AI and Identity- Okta Hackathon 2023,open,https://oktahackathon2023.devpost.com/,37 days left,492,False,Okta,"Sep 22, 2023","Nov 07, 2023",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19079,2023 PICO Dev Jam,upcoming,https://pico-dev-jam-2023.devpost.com/,40 days left,398,True,PICO ,"Oct 02, 2023","Nov 10, 2023",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18903,Boost Hacks,open,https://boost-hacks.devpost.com/,29 days left,721,False,Boost,"Sep 08, 2023","Oct 30, 2023",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19038,NEW HORIZON,upcoming,https://newhorizon.devpost.com/,71 days left,79,True,Ripple,"Oct 19, 2023","Dec 11, 2023",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19068,HackSharks 2.0,open,https://hacksharks-2-0.devpost.com/,60 days left,329,False,Indian Institute of Technology,"Sep 03, 2023","Nov 30, 2023",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18956,AI Classroom Challenge,open,https://ai-classroom-challenge.devpost.com/,27 days left,275,False,AI Consensus,"Sep 18, 2023","Oct 28, 2023",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19303,Innovate2Educate Hackathon,upcoming,https://innovate2educate.devpost.com/,33 days left,187,False,Strive Squad,"Oct 06, 2023","Nov 03, 2023",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19228,AMD Code Jam,upcoming,https://amdcodejam.devpost.com/,64 days left,19,False,AMD,"Oct 23, 2023","Dec 04, 2023",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18610,Tech Solutions to Reduce Sexually Transmitted Infections: Virtual,open,https://sti-hackathon-virtual.devpost.com/,29 days left,112,False,National Academies,"Sep 19, 2023","Oct 30, 2023",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19364,"Equitable Elevation III - (Internship, Prestigious Article, 300K Non-Cash Prize)",upcoming,https://equitable-elevation-iii.devpost.com/,35 days left,137,False,EQ Hacks,"Oct 08, 2023","Nov 05, 2023",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18937,5G Innovation Hackathon,open,https://5g-innovation-hackathon.devpost.com/,32 days left,118,False,Code for Pakistan,"Sep 18, 2023","Nov 02, 2023",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19046,Urban Health AI Challenge - Detroit ,open,https://urban-health-ai.devpost.com/,27 days left,100,False,Univerity of detroit Mercy,"Sep 21, 2023","Oct 28, 2023",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19005,GreenHack Challenge 2023 - Biodiversity and Ecotourism App Hackathon,upcoming,https://greenhack-challenge-2023.devpost.com/,34 days left,92,False,IPB University,"Oct 13, 2023","Nov 04, 2023",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19089,Future of Regenerative Cities GITEX GLOBAL - DevSlam 2023,upcoming,https://regen-cities-gitex23.devpost.com/,26 days left,80,False,Global DevSlam,"Oct 20, 2023","Oct 27, 2023",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19380,MLH's Month Long Hackathon,upcoming,https://hackfest-november.devpost.com/,61 days left,67,False,Major League Hacking,"Oct 16, 2023","Dec 01, 2023",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19415,Code for Change,upcoming,https://code-for-change.devpost.com/,50 days left,47,False,Amdad-o-Agahi,"Oct 20, 2023","Nov 20, 2023",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19286,SF Hacks Code Jam 2023 V2,upcoming,https://sf-hacks-code-jam-2023-v2.devpost.com/,31 days left,46,False,SF Hacks,"Oct 01, 2023","Nov 01, 2023",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19443,2023-24 (Fall) ESE Senior Design ,upcoming,https://ese4500f23.devpost.com/,84 days left,43,False,university of pennsylvania,"Oct 16, 2023","Dec 24, 2023",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19176,Machine Hacks,upcoming,https://machine-hacks.devpost.com/,35 days left,37,False,Rate-My-APs,"Oct 09, 2023","Nov 05, 2023",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16327,Syracuse Open Data Day,upcoming,https://syracuse-open-data-day.devpost.com/,34 days left,25,False,City of Syracuse,"Oct 04, 2023","Nov 04, 2023",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19327,Ghost in the Machine: AI Spookathon,upcoming,https://spookathon.devpost.com/,30 days left,18,False,EVCCSC,"Oct 25, 2023","Oct 31, 2023",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19156,Innova BCP,upcoming,https://innovabcp.devpost.com/,27 days left,13,False,BCP,"Oct 23, 2023","Oct 28, 2023",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19283,The Green Plan 2030 Challenge,upcoming,https://the-green-plan-2030-challenge.devpost.com/,46 days left,12,False,TPCC DMIG,"Oct 08, 2023","Nov 16, 2023",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19404,North Shore Hacks,upcoming,https://north-shore-hacks.devpost.com/,33 days left,11,False,West Vancouver Programming Club,"Oct 25, 2023","Nov 03, 2023",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19483,Spooky Software Hackathon,upcoming,https://spooky-software-hackathon.devpost.com/,32 days left,6,False,EVCCSC,"Oct 24, 2023","Nov 02, 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18628,Microsoft AI Classroom Hackathon,upcoming,https://microsoftaiclassroom.devpost.com/,66 days left,1015,False,Microsoft,"Oct 26, 2023","Dec 06, 2023",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18513,NEARCON IRL Hackathon,upcoming,https://nearcon-hackathon.devpost.com/,40 days left,427,True,NEAR Protocol,"Nov 07, 2023","Nov 10, 2023",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18969,Decentralized Identity Foundation Hackathon,upcoming,https://difhackathon.devpost.com/,62 days left,139,False,Decentralized Identity Foundation,"Oct 26, 2023","Dec 02, 2023",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18689,natHACKS 2023,upcoming,https://nathacks23.devpost.com/,49 days left,403,False,NeurAlbertaTech,"Nov 16, 2023","Nov 19, 2023",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
