id,title,open_state,url,time_left_to_submission,submission_period_dates,themes,prize_amount,registrations_count,featured,organization_name,winners_announced
19201,Google’s Immersive Geospatial Challenge,open,https://googlesimmersive.devpost.com/,27 days left,"Sep 25 - Nov 20, 2023","[{'id': 5, 'name': 'AR/VR'}, {'id': 23, 'name': 'Beginner Friendly'}, {'id': 11, 'name': 'Productivity'}]","$<span data-currency-value>70,000</span>",1699,True,Google,False
19198,Docker AI/ML Hackathon,open,https://docker.devpost.com/,14 days left,"Oct 03 - Nov 07, 2023","[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 2, 'name': 'DevOps'}, {'id': 25, 'name': 'Web'}]","$<span data-currency-value>20,000</span>",1595,False,Docker,False
18926,CodeShift,open,https://codeshift.devpost.com/,20 days left,"Sep 26 - Nov 13, 2023","[{'id': 21, 'name': 'Enterprise'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 22, 'name': 'Open Ended'}]","$<span data-currency-value>70,000</span>",324,True,Red Hat,False
18886,Databricks Asia Pacific LLM Cup 2023,open,https://databricks-llm-cup-2023.devpost.com/,about 1 month left,"Oct 08 - Nov 24, 2023","[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 28, 'name': 'Databases'}]",$<span data-currency-value>0</span>,621,False,Databricks,False
18958,Ably Realtime Experiences Hackathon,open,https://ably.devpost.com/,8 days left,"Sep 18 - Nov 01, 2023","[{'id': 10, 'name': 'Communication'}, {'id': 28, 'name': 'Databases'}, {'id': 25, 'name': 'Web'}]","$<span data-currency-value>19,000</span>",591,False,ably,False
18360,API World + AI DevWorld Hackathon 2023,open,https://api-world-hackathon-2023.devpost.com/,1 day left,"Oct 09 - 26, 2023","[{'id': 7, 'name': 'IoT'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 17, 'name': 'Low/No Code'}]","$<span data-currency-value>20,540</span>",580,True,DevNetwork,False
18997,AI and Identity- Okta Hackathon 2023,open,https://oktahackathon2023.devpost.com/,13 days left,"Sep 22 - Nov 07, 2023","[{'id': 21, 'name': 'Enterprise'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 25, 'name': 'Web'}]","$<span data-currency-value>20,400</span>",492,False,Okta,False
19079,2023 PICO Dev Jam,open,https://pico-dev-jam-2023.devpost.com/,17 days left,"Oct 02 - Nov 10, 2023","[{'id': 5, 'name': 'AR/VR'}, {'id': 19, 'name': 'Education'}, {'id': 4, 'name': 'Gaming'}]","$<span data-currency-value>49,500</span>",398,True,PICO ,False
18903,Boost Hacks,open,https://boost-hacks.devpost.com/,6 days left,"Sep 08 - Oct 30, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>29,899</span>",721,False,Boost,False
19038,NEW HORIZON,open,https://newhorizon.devpost.com/,about 2 months left,"Oct 19 - Dec 11, 2023","[{'id': 1, 'name': 'Blockchain'}, {'id': 25, 'name': 'Web'}]","$<span data-currency-value>50,000</span>",79,True,Ripple,False
19068,HackSharks 2.0,open,https://hacksharks-2-0.devpost.com/,about 1 month left,"Sep 03 - Nov 30, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 16, 'name': 'Health'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>55,000</span>",329,False,Indian Institute of Technology,False
18956,AI Classroom Challenge,open,https://ai-classroom-challenge.devpost.com/,4 days left,"Sep 18 - Oct 29, 2023","[{'id': 19, 'name': 'Education'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 17, 'name': 'Low/No Code'}]","$<span data-currency-value>5,000</span>",275,False,AI Consensus,False
19303,Innovate2Educate Hackathon,open,https://innovate2educate.devpost.com/,10 days left,"Oct 06 - Nov 03, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 17, 'name': 'Low/No Code'}]",$<span data-currency-value>75</span>,187,False,Strive Squad,False
19228,AMD Code Jam,open,https://amdcodejam.devpost.com/,about 1 month left,"Oct 23 - Dec 04, 2023","[{'id': 2, 'name': 'DevOps'}, {'id': 9, 'name': 'Cybersecurity'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>5,500</span>",19,False,AMD,False
18610,Tech Solutions to Reduce Sexually Transmitted Infections: Virtual,open,https://sti-hackathon-virtual.devpost.com/,6 days left,"Sep 19 - Oct 30, 2023","[{'id': 5, 'name': 'AR/VR'}, {'id': 16, 'name': 'Health'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>24,000</span>",112,False,National Academies,False
19364,"Equitable Elevation III - (Internship, Prestigious Article, 300K Non-Cash Prize)",open,https://equitable-elevation-iii.devpost.com/,11 days left,"Oct 08 - Nov 05, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 13, 'name': 'Social Good'}, {'id': 17, 'name': 'Low/No Code'}]","$<span data-currency-value>40,127</span>",137,False,EQ Hacks,False
18937,5G Innovation Hackathon,open,https://5g-innovation-hackathon.devpost.com/,8 days left,"Sep 18 - Nov 02, 2023","[{'id': 3, 'name': 'Fintech'}, {'id': 7, 'name': 'IoT'}]","$<span data-currency-value>1,666</span>",118,False,Code for Pakistan,False
19046,Urban Health AI Challenge - Detroit ,open,https://urban-health-ai.devpost.com/,4 days left,"Sep 21 - Oct 28, 2023","[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 13, 'name': 'Social Good'}, {'id': 5, 'name': 'AR/VR'}]","$<span data-currency-value>15,250</span>",100,False,Univerity of detroit Mercy,False
19005,GreenHack Challenge 2023 - Biodiversity and Ecotourism App Hackathon,open,https://greenhack-challenge-2023.devpost.com/,10 days left,"Oct 13 - Nov 04, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 26, 'name': 'Mobile'}]","$<span data-currency-value>1,950</span>",92,False,IPB University,False
19089,Future of Regenerative Cities GITEX GLOBAL - DevSlam 2023,open,https://regen-cities-gitex23.devpost.com/,2 days left,"Oct 20 - 27, 2023","[{'id': 13, 'name': 'Social Good'}, {'id': 7, 'name': 'IoT'}, {'id': 11, 'name': 'Productivity'}]",$<span data-currency-value>0</span>,80,False,Global DevSlam,False
19380,MLH's Month Long Hackathon,open,https://hackfest-november.devpost.com/,about 1 month left,"Oct 16 - Dec 01, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}]",$<span data-currency-value>0</span>,67,False,Major League Hacking,False
19415,Code for Change,open,https://code-for-change.devpost.com/,27 days left,"Oct 20 - Nov 20, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>8,329</span>",47,False,Amdad-o-Agahi,False
19286,SF Hacks Code Jam 2023 V2,open,https://sf-hacks-code-jam-2023-v2.devpost.com/,8 days left,"Oct 01 - Nov 01, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 22, 'name': 'Open Ended'}]",$<span data-currency-value>0</span>,46,False,SF Hacks,False
19443,2023-24 (Fall) ESE Senior Design ,open,https://ese4500f23.devpost.com/,2 months left,"Oct 16 - Dec 24, 2023","[{'id': 19, 'name': 'Education'}]",$<span data-currency-value>0</span>,43,False,university of pennsylvania,False
